ID,Approved,symbol,Approved,name,Status,Previous,symbols,Alias,symbols,Chromosome,Accession,numbers,RefSeq,IDs,,,,,,,,,,
ACTRT1,actin,related,protein,T1,Approved,"AIP1,","KIAA0705,","ARIP1,",Arp-T1,Xq25,AF440739,NM_138289,,,,,,,,,,,,
ACTRT1P1,ACTRT1,pseudogene,1,Approved,Xq25,NG_011795,,,,,,,,,,,,,,,,,,
ADFN,albinism-deafness,syndrome,Entry,Withdrawn,Xq26.3-q27.1,,,,,,,,,,,,,,,,,,,
ADGRG2,adhesion,G,protein-coupled,receptor,G2,Approved,GPR64,"HE6,","TM7LN2,",EDDM6,Xp22.13,X81892,,,,,,,,,,,,
ADGRG4,adhesion,G,protein-coupled,receptor,G4,Approved,GPR112,"RP1-299I16,",PGR17,Xq26.3,AY140954,,,,,,,,,,,,,
AFF2,ALF,transcription,elongation,factor,2,Approved,FMR2,FRAXE,Xq28,U48436,NM_002025,,,,,,,,,,,,,
AFF2-IT1,AFF2,intronic,transcript,1,Approved,Xq28,,,,,,,,,,,,,,,,,,
AGKP1,AGK,pseudogene,1,Approved,AGKY1,Yq11.221,NG_002810,,,,,,,,,,,,,,,,,
AGKP2,AGK,pseudogene,2,Approved,Xq26.2,NG_022637,,,,,,,,,,,,,,,,,,
AGMX2,"agammaglobulinemia,",X-linked,2,(with,growth,hormone,deficiency),Entry,Withdrawn,Xp22,,,,,,,,,,,,,,
AGPAT5P1,1-acylglycerol-3-phosphate,O-acyltransferase,5,pseudogene,1,Approved,Yp11.2,,,,,,,,,,,,,,,,,
AGTR2,angiotensin,II,receptor,type,2,Approved,"AT2,",MRX88,Xq23,AY324607,NM_000686,,,,,,,,,,,,,
AHDS,symbol,"withdrawn,",see,[HGNC:10923](/data/gene-symbol-report/#!/hgnc_id/HGNC:10923),Symbol,Withdrawn,Xq21,,,,,,,,,,,,,,,,,
AIC,Aicardi,syndrome,Entry,Withdrawn,Xp22,,,,,,,,,,,,,,,,,,,
AIED,symbol,"withdrawn,",see,[HGNC:1393](/data/gene-symbol-report/#!/hgnc_id/HGNC:1393),Symbol,Withdrawn,OA2,Xp21-q21,,,,,,,,,,,,,,,,
AIFM1,apoptosis,inducing,factor,mitochondria,associated,1,Approved,"PDCD8,","NAMSD,",AUNX1,"AIF,","CMTX4,",DFNX5,Xq26.1,AF100928,,,,,,,,,
AIH3,amelogenesis,imperfecta,"3,",hypomaturation,or,hypoplastic,type,Entry,Withdrawn,Xq22-q28,,,,,,,,,,,,,,
AKAP4,A-kinase,anchoring,protein,4,Approved,"p82,","hAKAP82,","AKAP82,","Fsc1,","HI,",CT99,Xp11.22,AF072756,NM_003886,,,,,,,,,,
AKAP14,A-kinase,anchoring,protein,14,Approved,AKAP28,Xq24,AF514780,NM_178813,,,,,,,,,,,,,,,
AKAP17A,A-kinase,anchoring,protein,17A,Approved,"CXYorf3,",SFRS17A,"XE7,","XE7Y,","DXYS155E,","MGC39904,","721P,",CCDC133,Xp22.33,and,Yp11.32,L03426,NM_005088,,,,,,
AKAP17BP,A-kinase,anchoring,protein,"17B,",pseudogene,Approved,"AKAP16B,",AKAP16BP,Xq24,NG_022632,,,,,,,,,,,,,,
AKIRIN1P2,akirin,1,pseudogene,2,Approved,Xq12,,,,,,,,,,,,,,,,,,
AKR1B1P8,aldo-keto,reductase,family,1,member,B1,pseudogene,8,Approved,Xq23,NG_009682,,,,,,,,,,,,,
AKR7A2P2,AKR7A2P,pseudogene,1,Approved,Xq24,NG_022631,,,,,,,,,,,,,,,,,,
ALAS2,5'-aminolevulinate,synthase,2,Approved,ASB,ALAS-E,Xp11.21,NM_000032,,,,,,,,,,,,,,,,
ALG13,ALG13,UDP-N-acetylglucosaminyltransferase,subunit,Approved,"GLT28D1,",CXorf45,"MDS031,","YGL047W,","FLJ23018,","TDRD13,",CDG1S,Xq23,AF220051,NM_018466,,,,,,,,,,
ALG13-AS1,ALG13,antisense,RNA,1,Approved,Xq23,,,,,,,,,,,,,,,,,,
AMD1P2,adenosylmethionine,decarboxylase,1,pseudogene,2,Approved,"AMD2,","AMD,",AMDP1,"AMDPX,",AMDPY,Xq28,and,Yq12,U02035,NG_001073,,,,,,,,
AMELX,amelogenin,X-linked,Approved,"AMG,",AIH1,Xp22.2,NM_001142,,,,,,,,,,,,,,,,,
AMELY,amelogenin,Y-linked,Approved,AMGL,Yp11.2,M86933,NM_001143,,,,,,,,,,,,,,,,,
AMER1,APC,membrane,recruitment,protein,1,Approved,FAM123B,"RP11-403E24.2,","FLJ39827,",WTX,Xq11.2,AK097146,NM_152424,,,,,,,,,,,
AMMECR1,AMMECR,nuclear,protein,1,Approved,Xq23,AJ007014,,,,,,,,,,,,,,,,,
AMMECR1-IT1,AMMECR1,intronic,transcript,1,Approved,Xq23,,,,,,,,,,,,,,,,,,
AMOT,angiomotin,Approved,KIAA1071,Xq23,AB028994,NM_133265,,,,,,,,,,,,,,,,,,
AMZ2P3,AMZ2,pseudogene,3,Approved,Xp21.3,NG_022586,,,,,,,,,,,,,,,,,,
ANAPC15P1,ANAPC15,pseudogene,1,Approved,Xp22.31,NG_030154,,,,,,,,,,,,,,,,,,
ANKRD11P2,ANKRD11,pseudogene,2,Approved,Xq27.3,NG_026775,,,,,,,,,,,,,,,,,,
ANKRD20A6P,ankyrin,repeat,domain,20,family,member,"A6,",pseudogene,Approved,Yq11.21,XM_001126719,,,,,,,,,,,,,
ANKRD36P1,ankyrin,repeat,domain,36,pseudogene,1,Approved,Yq11.23,,,,,,,,,,,,,,,,
ANOP1,anophthalmos,1,(with,mental,"retardation,",without,limb,anomalies,or,dental,or,urogenital,abnormalities),Entry,Withdrawn,MCOPS4,X,,,,,,,
ANOS1,anosmin,1,Approved,"KAL,","ADMLX,",KAL1,"KALIG-1,",WFDC19,Xp22.31,NM_000216,,,,,,,,,,,,,,
ANOS2P,anosmin,"2,",pseudogene,Approved,"ADMLY,",KALP,KAL-Y,Yq11.221,X68743,NG_001153,,,,,,,,,,,,,,
AP1M2P1,AP1M2,pseudogene,1,Approved,Xq12,NG_022666,,,,,,,,,,,,,,,,,,
AP1S2,adaptor,related,protein,complex,1,subunit,sigma,2,Approved,"MRX59,","MRXS5,",PGS,SIGMA1B,Xp22.2,AB015320,NM_003916,,,,,,,,
AP2B1P1,AP2B1,pseudogene,1,Approved,Xq21.32,NG_022622,,,,,,,,,,,,,,,,,,
APEX2,apurinic/apyrimidinic,endodeoxyribonuclease,2,Approved,"APEXL2,","APE2,","XTH2,",ZGRF2,Xp11.21,AB021260,,,,,,,,,,,,,,
API5P1,apoptosis,inhibitor,5,pseudogene,1,Approved,API5L1,Xq23,NG_009200,,,,,,,,,,,,,,,
APLN,apelin,Approved,"apelin,",XNPEP2,Xq26.1,AF179680,NM_017413,,,,,,,,,,,,,,,,,
APOO,apolipoprotein,O,Approved,FAM121B,"MGC4825,","My025,","Mic23,","MIC26,",MICOS26,Xp22.11,BC016814,NM_024122,,,,,,,,,,,,
APOOL,apolipoprotein,O,like,Approved,"CXorf33,",FAM121A,"UNQ8193,","AAIR8193,","Mic27,",MICOS27,Xq21.1,AK130506,NM_198450,,,,,,,,,,,
AR,androgen,receptor,Approved,"DHTR,",SBMA,"AIS,","NR3C4,","SMAX1,",HUMARA,Xq12,M20132,NM_000044,,,,,,,,,,,,
ARAF,A-Raf,"proto-oncogene,",serine/threonine,kinase,Approved,ARAF1,Xp11.3,X04790,,,,,,,,,,,,,,,,
ARHGAP4,Rho,GTPase,activating,protein,4,Approved,"KIAA0131,","C1,","p115,","RhoGAP4,",SrGAP4,Xq28,X78817,NM_001666,,,,,,,,,,
ARHGAP6,Rho,GTPase,activating,protein,6,Approved,rhoGAPX-1,Xp22.2,AF012272,NM_013427,,,,,,,,,,,,,,
ARHGAP36,Rho,GTPase,activating,protein,36,Approved,FLJ30058,Xq26.1,NM_144967,,,,,,,,,,,,,,,
ARHGEF6,Rac/Cdc42,guanine,nucleotide,exchange,factor,6,Approved,MRX46,"alphaPIX,","Cool-2,","KIAA0006,","alpha-PIX,","Cool2,",αPix,Xq26.3,D13631,NM_004840,,,,,,,
ARHGEF9,Cdc42,guanine,nucleotide,exchange,factor,9,Approved,"KIAA0424,",PEM-2,Xq11.1,AB007884,,,,,,,,,,,,,
ARHGEF9-IT1,ARHGEF9,intronic,transcript,1,Approved,Xq11.1,,,,,,,,,,,,,,,,,,
ARL5AP1,ARL5A,pseudogene,1,Approved,Xq24,,,,,,,,,,,,,,,,,,,
ARL5AP5,ARL5A,pseudogene,5,Approved,Xq13.3,NG_005340,,,,,,,,,,,,,,,,,,
ARL13A,ADP,ribosylation,factor,like,GTPase,13A,Approved,ARL13,Xq22.1,NM_001162491,,,,,,,,,,,,,,
ARMCX1,armadillo,repeat,containing,X-linked,1,Approved,"ALEX1,",GASP7,Xq22.1,AB039670,NM_016608,,,,,,,,,,,,,
ARMCX2,armadillo,repeat,containing,X-linked,2,Approved,"ALEX2,","KIAA0512,",GASP9,Xq22.1,AB011084,NM_014782,,,,,,,,,,,,
ARMCX3,armadillo,repeat,containing,X-linked,3,Approved,"ALEX3,",GASP6,Xq22.1,AY359079,NM_016607,,,,,,,,,,,,,
ARMCX3-AS1,ARMCX3,antisense,RNA,1,Approved,Xq22.1,,,,,,,,,,,,,,,,,,
ARMCX4,armadillo,repeat,containing,X-linked,4,Approved,CXorf35,"MGC40053,",GASP4,Xq22.1,AK096955,NM_001256155,,,,,,,,,,,,
ARMCX5,armadillo,repeat,containing,X-linked,5,Approved,"FLJ12969,",GASP5,Xq22.1,NM_022838,,,,,,,,,,,,,,
ARMCX5-GPRASP2,ARMCX5-GPRASP2,readthrough,Approved,Xq22.1,NM_001199818.1,,,,,,,,,,,,,,,,,,,
ARMCX6,armadillo,repeat,containing,X-linked,6,Approved,"FLJ20811,",GASP10,Xq22.1,BC007677,NM_019007,,,,,,,,,,,,,
ARMCX7P,armadillo,repeat,containing,X-linked,"7,",pseudogene,Approved,"ARMCX6-ps,",GASP10ps,Xq22.1,,,,,,,,,,,,,,
ARR3,arrestin,3,Approved,ARRX,Xq13.1,NM_004312,,,,,,,,,,,,,,,,,,
ARSC2,arylsulfatase,"C,",isozyme,F,Approved,ARSC,X,,,,,,,,,,,,,,,,,
ARSD,arylsulfatase,D,Approved,ASD,Xp22.33,X83572,,,,,,,,,,,,,,,,,,
ARSD-AS1,ARSD,antisense,RNA,1,Approved,Xp22.33,,,,,,,,,,,,,,,,,,
ARSDP1,arylsulfatase,D,pseudogene,1,Approved,ARSDP,ARSDY1,Yq11.21,AC002992,NG_000881.2,,,,,,,,,,,,,,
ARSF,arylsulfatase,F,Approved,ASF,Xp22.33,X97868,,,,,,,,,,,,,,,,,,
ARSFP1,arylsulfatase,F,pseudogene,1,Approved,ARSFP,Yq11.21,NG_002804,,,,,,,,,,,,,,,,
ARSH,arylsulfatase,family,member,H,Approved,Xp22.33,AY875940,NM_001011719,,,,,,,,,,,,,,,,
ARSL,arylsulfatase,L,Approved,"CDPX,","CDPX1,",ARSE,Xp22.33,X83573,NM_000047,,,,,,,,,,,,,,,
ARSLP1,arylsulfatase,L,pseudogene,1,Approved,"ARSEP,",ARSEP1,Yq11.21,NG_000880,,,,,,,,,,,,,,,
ARX,aristaless,related,homeobox,Approved,"MRXS1,","PRTS,","MRX76,","MRX54,","MRX43,","MRX36,","MRX29,","MRX32,","MRX33,","MRX38,",MRX87,"ISSX,","CT121,",EIEE1,Xp21.3,AY038071,,,,
ASB9,ankyrin,repeat,and,SOCS,box,containing,9,Approved,"DKFZP564L0862,","MGC4954,",FLJ20636,Xp22.2,AK000643,,,,,,,,,,,
ASB11,ankyrin,repeat,and,SOCS,box,containing,11,Approved,DKFZp779E2460,Xp22.2,AF425642,,,,,,,,,,,,,
ASB12,ankyrin,repeat,and,SOCS,box,containing,12,Approved,FLJ39577,Xq11.2,AF403030,,,,,,,,,,,,,
ASMER2,adipocyte,associated,metabolic,related,lncRNA,2,Approved,"ASMER-2,",CATG00000111229.1,Xp11.22,,,,,,,,,,,,,,
ASMT,acetylserotonin,O-methyltransferase,Approved,"HIOMT,","ASMTY,",HIOMTY,Xp22.3,and,Yp11.3,M83779,NM_004043,,,,,,,,,,,,,
ASMTL,acetylserotonin,O-methyltransferase,like,Approved,Xp22.3,and,Yp11.3,Y15521,NM_004192,,,,,,,,,,,,,,,
ASMTL-AS1,ASMTL,antisense,RNA,1,Approved,"CXYorf2,","NCRNA00105,","ASMTLAS,",ASMTL-AS,FLJ13330,Xp22.33,and,Yp11.32,AK023392,XR_040863,,,,,,,,,
ASS1P4,argininosuccinate,synthetase,1,pseudogene,4,Approved,ASSP4,Xp22.33,NG_000846,,,,,,,,,,,,,,,
ASS1P5,argininosuccinate,synthetase,1,pseudogene,5,Approved,ASSP5,Xq23,NG_000847,,,,,,,,,,,,,,,
ASS1P6,argininosuccinate,synthetase,1,pseudogene,6,Approved,ASSP6,Yq11.21,NG_000848,,,,,,,,,,,,,,,
ATF4P1,activating,transcription,factor,4,pseudogene,1,Approved,"TXREBP,",ATF4P,TAXREB67P,Xq28,U03712,NG_001080,,,,,,,,,,,
ATF4P2,activating,transcription,factor,4,pseudogene,2,Approved,Xq28,NG_002951,,,,,,,,,,,,,,,
ATG4A,autophagy,related,4A,cysteine,peptidase,Approved,"AUTL2,",APG4A,Xq22.3,AJ320508,NM_052936,,,,,,,,,,,,,
ATG4AP1,autophagy,related,4A,cysteine,peptidase,pseudogene,1,Approved,Xq21.1,,,,,,,,,,,,,,,
ATP1B4,ATPase,Na+/K+,transporting,family,member,beta,4,Approved,Xq24,AF158383,NM_001142447,,,,,,,,,,,,,
ATP2B3,ATPase,plasma,membrane,Ca2+,transporting,3,Approved,"SCAX1,",CLA2,"PMCA3,",CFAP39,Xq28,U60414,NM_021949,,,,,,,,,,
ATP5MC2P4,ATP5MC2,pseudogene,4,Approved,ATP5G2P4,Xp11.4,,,,,,,,,,,,,,,,,,
ATP5MKP1,ATP5MK,pseudogene,1,Approved,"USMG5P1,",ATP5MDP1,Xq13.2,NG_012722,,,,,,,,,,,,,,,,
ATP5PFP1,ATP,synthase,peripheral,stalk,subunit,F6,pseudogene,1,Approved,ATP5JP1,Yp11.2,NG_002918,,,,,,,,,,,,
ATP6AP1,ATPase,H+,transporting,accessory,protein,1,Approved,"ATP6S1,",ATP6IP1,"ORF,","XAP-3,","VATPS1,","16A,","Ac45,","XAP3,",CF2,Xq28,D16469,NM_001183,,,,,
ATP6AP1-DT,ATP6AP1,divergent,transcript,Approved,Xq28,NR_103768,,,,,,,,,,,,,,,,,,
ATP6AP2,ATPase,H+,transporting,accessory,protein,2,Approved,ATP6IP2,"M8-9,","APT6M8-9,","ATP6M8-9,","PRR,",RENR,Xp11.4,AF248966,NM_005765,,,,,,,,
ATP7A,ATPase,copper,transporting,alpha,Approved,MNK,Xq21.1,L06133,NM_000052,,,,,,,,,,,,,,,
ATP11C,ATPase,phospholipid,transporting,11C,Approved,"ATPIG,",ATPIQ,Xq27.1,AJ580094,NM_173694,,,,,,,,,,,,,,
ATRX,ATRX,chromatin,remodeler,Approved,"RAD54,","JMS,",MRX52,"XH2,",XNP,Xq21.1,U72937,NM_000489,,,,,,,,,,,,
ATXN3L,ataxin,3,like,Approved,MJDL,Xp22.2,NM_001135995,,,,,,,,,,,,,,,,,
ATXN7L3P1,ATXN7L3,pseudogene,1,Approved,Xq12,NG_022608,,,,,,,,,,,,,,,,,,
AUNX1,symbol,"withdrawn,",see,[HGNC:8768](/data/gene-symbol-report/#!/hgnc_id/HGNC:8768),Symbol,Withdrawn,DFNX5,Xq23-q27.3,,,,,,,,,,,,,,,,
AVPR2,arginine,vasopressin,receptor,2,Approved,"DIR3,",DIR,V2R,Xq28,Z11687,,,,,,,,,,,,,,
AWAT1,acyl-CoA,wax,alcohol,acyltransferase,1,Approved,DGAT2L3,Xq13.1,BC039181,NM_001013579,,,,,,,,,,,,,,
AWAT2,acyl-CoA,wax,alcohol,acyltransferase,2,Approved,DGAT2L4,MFAT,Xq13.1,BC063698,NM_001002254,,,,,,,,,,,,,
AZF1,azoospermia,factor,1,Entry,Withdrawn,AZF,AZFa,Yq11,,,,,,,,,,,,,,,,
AZF2,azoospermia,factor,2,Entry,Withdrawn,Y,,,,,,,,,,,,,,,,,,
B3GNT2P1,B3GNT2,pseudogene,1,Approved,Xq22.1,NG_026739,,,,,,,,,,,,,,,,,,
BAG1P1,BAG1,pseudogene,1,Approved,Xp11.4,NG_016482,,,,,,,,,,,,,,,,,,
BAGE,B,melanoma,antigen,Approved,"CT2.1,",BAGE1,21p11.1,not,on,reference,assembly,U19180,NM_001187,,,,,,,,,,,
BAGE3,BAGE,family,member,3,Approved,CT2.3,21p11.2,not,on,reference,assembly,AF339514,NM_182481,,,,,,,,,,,
BAGE4,BAGE,family,member,4,Approved,MLL3P,CT2.4,21p11.1,not,on,reference,assembly,AF339515,NM_181704,,,,,,,,,,
BCAP31,B,cell,receptor,associated,protein,31,Approved,"DXS1357E,","BAP31,","6C6-Ag,",CDM,Xq28,X81109,NM_005745,,,,,,,,,,
BCLAF3,BCLAF1,and,THRAP3,family,member,3,Approved,CXorf23,Xp22.12,AL833278,NM_198279,,,,,,,,,,,,,
BCOR,BCL6,corepressor,Approved,"FLJ20285,",KIAA1575,Xp11.4,AF317391,NM_017745,,,,,,,,,,,,,,,,
BCORL1,BCL6,corepressor,like,1,Approved,CXorf10,FLJ11362,Xq26.1,AL136450,NM_021946,,,,,,,,,,,,,,
BCORP1,BCL6,corepressor,pseudogene,1,Approved,BCORL2,FLJ39821,Yq11.222,AK097140,NR_033732,,,,,,,,,,,,,,
BCYRN1P1,brain,cytoplasmic,RNA,"1,",pseudogene,1,Approved,BC200b,Xq27.1,U01307,,,,,,,,,,,,,,
BCYRN1P2,brain,cytoplasmic,RNA,"1,",pseudogene,2,Approved,BC200g,1q41,not,on,reference,assembly,U01308,,,,,,,,,,
BDM,behavior,disorder,modifier,Entry,Withdrawn,X,,,,,,,,,,,,,,,,,,
BEND2,BEN,domain,containing,2,Approved,CXorf20,MGC33653,Xp22.13,AK128155,NM_153346,,,,,,,,,,,,,,
BEND7P1,BEN,domain,containing,7,pseudogene,1,Approved,Xq22.1,NG_026866,,,,,,,,,,,,,,,
BEX1,brain,expressed,X-linked,1,Approved,Xq22.1,NM_018476,,,,,,,,,,,,,,,,,
BEX2,brain,expressed,X-linked,2,Approved,DJ79P11.1,Xq22.2,BC015522,NM_032621,,,,,,,,,,,,,,,
BEX3,brain,expressed,X-linked,3,Approved,NGFRAP1,"HGR74,","Bex,","NADE,",DXS6984E,Xq22.2,AF187064,NM_014380,,,,,,,,,,,
BEX4,brain,expressed,X-linked,4,Approved,BEXL1,FLJ10097,Xq22.1,AL035494,NM_001080425,,,,,,,,,,,,,,
BEX5,brain,expressed,X-linked,5,Approved,NGFRAP1L1,Xq22.1,BC042818,NM_001159560,,,,,,,,,,,,,,,
BFLS,symbol,"withdrawn,",see,[HGNC:18145](/data/gene-symbol-report/#!/hgnc_id/HGNC:18145),Symbol,Withdrawn,BORJ,Xq26-q27,,,,,,,,,,,,,,,,
BGN,biglycan,Approved,"DSPG1,",SLRR1A,Xq28,AK092954,NM_001711,,,,,,,,,,,,,,,,,
BLOC1S2P1,BLOC1S2,pseudogene,1,Approved,Xq11.2,NG_030157,,,,,,,,,,,,,,,,,,
BLOC1S6P1,BLOC1S6,pseudogene,1,Approved,Xp22.13,NG_042304,,,,,,,,,,,,,,,,,,
BMI1P1,BMI1,"proto-oncogene,",polycomb,ring,finger,pseudogene,1,Approved,lnc-OPHN1-5,Xq12,NG_011910,,,,,,,,,,,,,
BMP2KL,BMP2,inducible,kinase,like,(pseudogene),Approved,Xq13.2,XM_293293,,,,,,,,,,,,,,,,
BMP15,bone,morphogenetic,protein,15,Approved,GDF9B,Xp11.22,AF082349,NM_005448,,,,,,,,,,,,,,,
BMX,BMX,non-receptor,tyrosine,kinase,Approved,"ETK,",PSCTK3,Xp22.2,AF045459,NM_001721,,,,,,,,,,,,,,
BPY2,basic,charge,Y-linked,2,Approved,VCY2,"BPY2A,",VCY2A,Yq11.223,AF000980,NM_004678,,,,,,,,,,,,,
BPY2B,basic,charge,Y-linked,2B,Approved,VCY2B,Yq11.23,NM_001002760,,,,,,,,,,,,,,,,
BPY2C,basic,charge,Y-linked,2C,Approved,VCY2C,Yq11.23,NM_001002761,,,,,,,,,,,,,,,,
BPY2DP,basic,charge,Y-linked,"2D,",pseudogene,Approved,Yp11.2,,,,,,,,,,,,,,,,,
BRAFP1,BRAF,pseudogene,1,Approved,BRAFPS2,BRAF2,Xq13.3,NG_003108,,,,,,,,,,,,,,,,
BRCC3,BRCA1/BRCA2-containing,complex,subunit,3,Approved,CXorf53,"C6.1A,",BRCC36,Xq28,X64643,NM_024332,,,,,,,,,,,,,
BRDTP1,bromodomain,testis,associated,pseudogene,1,Approved,Xq21.33,NR_003539,,,,,,,,,,,,,,,,
BRK1P1,BRICK1,pseudogene,1,Approved,Xp22.31,NG_030299,,,,,,,,,,,,,,,,,,
BRS3,bombesin,receptor,subtype,3,Approved,"BB3,","BB3R,",BBR3,Xq26.3,NM_001727,,,,,,,,,,,,,,
BRWD3,bromodomain,and,WD,repeat,domain,containing,3,Approved,"FLJ38568,",MRX93,Xq21.1,NM_153252,,,,,,,,,,,,
BTF3P8,basic,transcription,factor,3,pseudogene,8,Approved,Xq11.1,,,,,,,,,,,,,,,,
BTG3P1,BTG,anti-proliferation,factor,3,pseudogene,1,Approved,Xq25,NG_026879,,,,,,,,,,,,,,,
BTK,Bruton,tyrosine,kinase,Approved,"AGMX1,",IMD1,"ATK,","XLA,",PSCTK1,Xq22.1,AK057105,NM_000061,,,,,,,,,,,,
BUD31P2,BUD31,homolog,pseudogene,2,Approved,Xq13.3,,,,,,,,,,,,,,,,,,
C1GALT1C1,C1GALT1,specific,chaperone,1,Approved,"COSMC,",C1GALT2,Xq24,AJ238398,NM_152692,,,,,,,,,,,,,,
C1HR,C1AGOH,temperature,sensitivity,complementing,Entry,Withdrawn,X,,,,,,,,,,,,,,,,,
C3orf49P1,C3orf49,pseudogene,1,Approved,Xq22.1,,,,,,,,,,,,,,,,,,,
C4orf46P2,C4orf46,pseudogene,2,Approved,Xq21.1,,,,,,,,,,,,,,,,,,,
CA5B,carbonic,anhydrase,5B,Approved,Xp22.2,AB021660,NM_007220,,,,,,,,,,,,,,,,,
CA5B-AS1,CA5B,antisense,RNA,1,Entry,Withdrawn,Xp22.2,,,,,,,,,,,,,,,,,
CA5BP1,carbonic,anhydrase,5B,pseudogene,1,Approved,"CA5BL,",CA5BP,PRO2325,Xp22.2,BC021816,NR_026551,,,,,,,,,,,,
CACNA1F,calcium,voltage-gated,channel,subunit,alpha1,F,Approved,"CSNB2,",AIED,"Cav1.4,","JM8,","JMC8,","CSNBX2,","CORDX3,","CSNB2A,",OA2,Xp11.23,AA019975,NM_005183,,,,,
CALM1P1,calmodulin,1,pseudogene,1,Approved,CALML1,Xq21.33,U12435,NG_001089,,,,,,,,,,,,,,,
CAPN6,calpain,6,Approved,"CAPNX,","CalpM,",CANPX,Xq23,AF029232,,,,,,,,,,,,,,,,
CAPZA1P1,CAPZA1,pseudogene,1,Approved,CAPZA1P,Xq21.31,AF284769,NG_001277,,,,,,,,,,,,,,,,
CAPZA1P3,CAPZA1,pseudogene,3,Approved,Xq13.1,NG_022610,,,,,,,,,,,,,,,,,,
CASK,calcium/calmodulin,dependent,serine,protein,kinase,Approved,TNRC8,"LIN2,","CAGH39,",FGS4,Xp11.4,AF035582,NM_003688,,,,,,,,,,,
CASK-AS1,CASK,antisense,RNA,1,Approved,Xp11.4,,,,,,,,,,,,,,,,,,
CASKP1,calcium/calmodulin,dependent,serine,protein,kinase,pseudogene,1,Approved,CASKP,Yq11.221,NG_002805.5,,,,,,,,,,,,,
CBLL1P1,CBLL1,pseudogene,1,Approved,Xq24,NG_022634,,,,,,,,,,,,,,,,,,
CBLL2,Cbl,proto-oncogene,like,2,Approved,ZNF645,"FLJ25735,","HAKAIL,",CT138,Xp22.11,AK098601,NM_152577,,,,,,,,,,,,
CBX1P1,chromobox,1,pseudogene,1,Approved,Xq11.1,,,,,,,,,,,,,,,,,,
CBX1P2,chromobox,1,pseudogene,2,Approved,Xp22.2,,,,,,,,,,,,,,,,,,
CBX1P4,chromobox,1,pseudogene,4,Approved,Xp22.2,,,,,,,,,,,,,,,,,,
CCDC22,coiled-coil,domain,containing,22,Approved,CXorf37,JM1,Xp11.23,BC000972,NM_014008,,,,,,,,,,,,,,
CCDC120,coiled-coil,domain,containing,120,Approved,JM11,Xp11.23,BC008769,NM_033626,,,,,,,,,,,,,,,
CCDC121P1,CCDC121,pseudogene,1,Approved,Xq23,NG_009150,,,,,,,,,,,,,,,,,,
CCDC160,coiled-coil,domain,containing,160,Approved,Xq26.2,BC017958,NM_001101357,,,,,,,,,,,,,,,,
CCNB1IP1P3,cyclin,B1,interacting,protein,1,pseudogene,3,Approved,Xq21.33,NG_016614,,,,,,,,,,,,,,
CCNB3,cyclin,B3,Approved,CYCB3,Xp11.22,AJ314764,,,,,,,,,,,,,,,,,,
CCNQ,cyclin,Q,Approved,FAM58A,CycM,Xq28,BC032121,NM_152274,,,,,,,,,,,,,,,,
CCNQP2,CCNQ,pseudogene,2,Approved,"FAM58AP1,",FAM58CP,FAM58Y,Yq12,,,,,,,,,,,,,,,,
CCNYL5,cyclin,Y,like,5,(pseudogene),Approved,Xq12,,,,,,,,,,,,,,,,,
CCT,"cataract,","congenital,",total,Entry,Withdrawn,X,,,,,,,,,,,,,,,,,,
